,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,github_release_downloads,monthly_downloads
59,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,3.0,2.0,,1.0,,,10.0,2.0,4,True,3.0,,,,,,,-1.0,,,
60,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,4.0,1.0,,,9.0,2.0,4,True,3.0,,,,,,,,,,
61,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,9.0,,4,True,3.0,MIT,,,,,,,,,
62,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,2019-01-31 17:47:00,2023-02-28 13:58:07,2023-02-28 13:57:57,187.0,1.0,1.0,4.0,,,,6.0,2.0,4,True,3.0,,,,,,,,,,
63,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2023-02-10 06:54:14,2023-02-10 06:54:00,442.0,2.0,,3.0,6.0,,,5.0,3.0,4,True,3.0,,,,,,,,,,
64,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,2017-10-30 00:35:00,2023-01-09 22:35:13,2022-12-26 17:42:03,435.0,11.0,,2.0,137.0,1.0,1.0,2.0,4.0,4,True,3.0,CC0-1.0,2019-01-14 15:42:02,2018,1.0,,,,,12.0,0.0
65,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,2020-10-19 22:55:09,2022-10-10 13:47:45,2022-04-09 16:37:38,73.0,,,,,,,2.0,7.0,4,True,3.0,GPL-3.0,,,,,,,,,
66,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,2021-11-06 18:24:10,2023-02-11 12:13:29,2023-02-11 12:11:14,252.0,2.0,,2.0,3.0,,,,,4,True,3.0,,,,,,,,,,
67,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,,1.0,2.0,,,,22.0,2.0,3,True,3.0,,,,,,,,,,
68,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,7.0,,3,True,3.0,,,,,,,,,,
69,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14.0,,,3.0,,,,5.0,,3,True,3.0,,,,,,,,,,
70,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,9.0,,2.0,41.0,1.0,,5.0,2.0,3,True,3.0,,,,,,,,,,
71,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47.0,,,3.0,,,,4.0,2.0,3,True,3.0,,,,,,,,,,
72,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,2017-06-26 23:15:31,2022-06-08 23:01:03,2022-06-08 21:50:53,110.0,,,1.0,,,,3.0,3.0,3,True,3.0,,,,,,,,,,
73,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,2.0,,,,3.0,,3,True,3.0,,,,,,,,,,
74,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,2021-05-19 10:00:20,2023-02-02 13:48:27,2023-02-02 13:48:25,63.0,2.0,,1.0,,,,3.0,,3,True,3.0,,,,,,,,,,
75,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/bakke92/hwiki,2019-04-13 09:28:45,2023-02-14 18:48:53,2023-02-14 18:48:50,281.0,4.0,,2.0,,,,2.0,2.0,3,True,3.0,,,,,,,,,,
