,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
20,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,MIT,2022-01-04 00:11:18,2025-01-15 07:33:00,2025-01-15 07:32:34,270.0,,10.0,4.0,3.0,2.0,,61.0,,,,9,True,2.0,,,,,,,
21,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,MIT,2017-09-13 00:21:11,2025-09-28 13:59:26,2025-09-28 13:58:34,793.0,12.0,,1.0,23.0,,15.0,6.0,,,2.0,9,True,2.0,,2024-12-19 14:31:51,0.5.0,2.0,,,
22,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.dev,AGPL-3.0,2020-02-01 14:29:58,2025-11-02 14:40:54,2025-11-02 14:40:42,1470.0,51.0,,1.0,60.0,,10.0,,,,3.0,9,True,2.0,paveloom/paveloom.dev,,,,,,
23,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,https://github.com/MaggieAppleton/maggieappleton.com-V2,,2021-09-24 09:01:12,2025-01-25 16:11:55,2025-01-25 16:11:54,1041.0,,29.0,5.0,26.0,3.0,1.0,347.0,,,6.0,8,True,2.0,,,,,,,
24,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,4.0,,,,36.0,,,,8,False,2.0,,,,,,,
25,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,,2019-04-06 11:12:55,2025-07-30 21:14:20,2025-07-30 21:14:10,332.0,,22.0,3.0,55.0,1.0,,36.0,,,10.0,8,True,2.0,,,,,,,
26,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,MIT,2019-07-04 11:37:40,2023-05-28 13:48:45,2023-05-28 13:48:44,490.0,,7.0,1.0,3.0,3.0,,30.0,,,3.0,8,True,2.0,,,,,,,
27,purarues exobrain,https://purarue.xyz/x/,"['programming', 'linux']",purarue/exobrain,,english,https://github.com/purarue/exobrain,MIT,2020-06-11 04:33:29,2025-10-31 04:26:00,2025-10-31 04:25:59,903.0,12.0,,3.0,16.0,,18.0,19.0,,,2.0,8,True,2.0,,,,,,,
28,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,https://github.com/mlubinsky/mlubinsky.github.com,,2011-07-14 23:56:22,2025-10-14 14:48:00,2025-10-14 14:47:59,13432.0,38.0,3.0,1.0,,,1.0,10.0,,,8.0,8,True,2.0,,,,,,,
29,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,,2016-05-13 19:55:51,2025-06-18 23:08:38,2025-06-18 23:08:28,1160.0,,6.0,6.0,1.0,1.0,2.0,63.0,,,,7,True,2.0,,,,,,,
30,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,MIT,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,3.0,1.0,,,27.0,,,,7,True,2.0,,,,,,,
31,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,,2016-02-17 01:44:04,2025-04-03 05:01:14,2025-04-03 05:01:09,249.0,,3.0,4.0,3.0,,,21.0,,,3.0,7,True,2.0,,,,,,,
32,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,ISC,2017-05-07 16:44:33,2024-04-04 13:36:41,2024-04-04 13:36:40,903.0,,4.0,2.0,91.0,,,16.0,,,3.0,7,True,2.0,,,,,,,
33,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,MIT,2020-04-30 17:33:44,2025-10-29 03:12:21,2025-10-29 03:12:20,396.0,1.0,,,2.0,,,,,,,7,True,2.0,,,,,,,
34,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,CC0-1.0,2019-06-18 06:09:22,2025-08-15 17:20:44,2025-08-15 17:20:42,451.0,1.0,16.0,1.0,5.0,,28.0,87.0,,,2.0,6,True,2.0,,,,,,,
35,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,CC-BY-4.0,2020-03-07 16:16:24,2024-02-11 20:37:36,2024-02-11 20:37:30,119.0,,7.0,3.0,2.0,,1.0,85.0,,,,6,True,2.0,,,,,,,
36,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,MIT,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,3.0,,,1.0,29.0,,,,6,True,2.0,,,,,,,
37,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,CC-BY-SA-4.0,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,4.0,1.0,1.0,11.0,16.0,,,2.0,6,False,2.0,,,,,,,
