,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending
49,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,9.0,5.0,4.0,,,49.0,2.0,5,True,3.0,,,,,,,,,
50,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,5.0,,1.0,1.0,45.0,2.0,5,True,3.0,,,,,,,,,
51,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2023-01-17 20:18:25,2023-01-17 20:18:22,123.0,20.0,1.0,2.0,1.0,,,18.0,,5,True,3.0,,,,,,,,,
52,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,6.0,,,,13.0,2.0,5,False,3.0,MIT,,,,,,,,
53,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,4.0,2.0,,1.0,,,10.0,2.0,5,True,3.0,,,,,,,,,
54,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/Mineral-Existence,2020-09-27 02:34:26,2022-11-23 00:15:19,2022-11-23 00:07:06,501.0,5.0,1.0,1.0,1.0,,,8.0,,5,True,3.0,,,,,,,,,
55,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2022-12-17 07:16:01,2022-12-17 07:15:35,441.0,9.0,,3.0,6.0,,,5.0,3.0,5,True,3.0,,,,,,,,,
56,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2023-01-07 03:07:58,2023-01-07 03:07:57,205.0,9.0,2.0,3.0,1.0,,,5.0,2.0,5,True,3.0,,,,,,,,,
57,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83.0,,,1.0,,,,,3.0,5,True,3.0,MIT,,,,,,,,
58,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,2021-11-06 18:24:10,2022-11-28 17:20:58,2022-11-28 17:18:18,250.0,9.0,,2.0,3.0,,,,,5,True,3.0,,,,,,,,,
59,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2022-04-12 04:28:03,2022-04-12 04:28:03,748.0,,3.0,2.0,,,,19.0,2.0,4,True,3.0,,,,,,,,,
60,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,5.0,1.0,1.0,,19.0,2.0,4,True,3.0,,,,,,,,,
61,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2022-11-20 10:01:54,2022-11-20 10:01:49,237.0,2.0,10.0,2.0,5.0,,,19.0,3.0,4,True,3.0,,,,,,,,,
62,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,4.0,1.0,,,9.0,2.0,4,True,3.0,,,,,,,,,
63,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,8.0,,4,True,3.0,MIT,,,,,,,,
