,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
26,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,35.0,,8,True,2.0,,,,,,,,
27,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,2019-07-04 11:37:40,2022-06-03 22:48:27,2020-10-10 03:49:33,489.0,,7.0,1.0,2.0,3.0,,26.0,3.0,8,True,2.0,MIT,,,,,,,
28,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,https://github.com/maximevaillancourt/maximevaillancourt.com,2015-07-13 16:50:04,2022-12-10 01:24:10,2022-12-10 01:24:04,192.0,6.0,10.0,3.0,17.0,,6.0,25.0,3.0,8,True,2.0,,,,,,,,
29,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,2017-05-07 16:44:33,2022-12-06 17:12:11,2022-08-05 17:13:04,881.0,,2.0,3.0,58.0,,,13.0,3.0,8,True,2.0,ISC,,,,,,,
30,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,2022-04-11 14:41:41,2022-12-18 23:31:10,2022-12-18 23:31:03,500.0,166.0,,2.0,1.0,,,3.0,2.0,8,True,2.0,CC-BY-SA-4.0,,,,,,,
31,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,My personal wiki and blog.,english,https://github.com/StrikingLoo/strikingloo.github.io,2020-06-11 20:36:07,2022-12-19 06:58:14,2022-12-19 06:58:12,1418.0,140.0,2.0,2.0,20.0,,,3.0,4.0,8,True,2.0,,,,,,,,
32,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2022-11-22 20:05:36,2022-11-22 20:05:36,1841.0,10.0,,1.0,11.0,,,2.0,20.0,8,True,1.0,MIT,,,,,,,
33,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102.0,,6.0,4.0,1.0,,,62.0,,7,True,2.0,CC-BY-4.0,,,,,,,
34,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2022-12-04 16:56:39,2022-12-04 16:45:14,430.0,12.0,1.0,3.0,,,1.0,34.0,,7,True,2.0,,,,,,,,
35,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,3.0,1.0,,,26.0,,7,True,2.0,MIT,,,,,,,
36,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2022-09-22 18:15:29,2022-09-22 18:15:24,200.0,3.0,4.0,4.0,2.0,3.0,,22.0,,7,True,2.0,,,,,,,,
37,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,https://github.com/japanese-goblinn/knowledge-base,2022-04-22 21:44:57,2022-12-20 01:50:16,2022-12-20 01:50:15,201.0,54.0,1.0,1.0,,,,18.0,,7,True,2.0,,2022-05-17 17:22:03,1.0,1.0,,,,
38,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,4.0,,,1.0,29.0,,6,True,3.0,MIT,,,,,,,
39,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2022-08-17 01:03:55,2022-08-17 01:03:49,244.0,,3.0,4.0,3.0,,,20.0,3.0,6,True,3.0,,,,,,,,
40,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2022-11-20 10:01:54,2022-11-20 10:01:49,237.0,12.0,10.0,2.0,5.0,,,19.0,3.0,6,True,3.0,,,,,,,,
