,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
20,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,2014-07-03 17:41:01,2014-07-03 17:50:19,2014-07-03 17:50:18,8297.0,,20.0,4.0,,,,23.0,5.0,9,False,2.0,,,,,,
21,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,2020-04-30 17:33:44,2022-06-02 04:20:11,2022-06-02 04:20:07,360.0,19.0,,,2.0,,,,,9,True,2.0,MIT,,,,,
22,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,2022-01-04 00:11:18,2022-02-12 07:24:55,2022-02-12 07:24:31,178.0,,3.0,5.0,,2.0,,48.0,,8,True,2.0,MIT,,,,,
23,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,35.0,,8,True,2.0,,,,,,
24,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,https://github.com/maximevaillancourt/maximevaillancourt.com,2015-07-13 16:50:04,2022-05-24 23:46:07,2022-05-24 23:45:58,186.0,4.0,8.0,3.0,15.0,,5.0,22.0,3.0,8,True,2.0,,,,,,
25,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,2017-05-07 16:44:33,2022-04-28 19:06:55,2021-11-20 17:06:04,879.0,,2.0,3.0,53.0,,,14.0,3.0,8,True,2.0,ISC,,,,,
26,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,2021-07-17 15:36:36,2022-06-20 07:05:26,2022-06-20 07:04:12,1041.0,187.0,4.0,1.0,292.0,1.0,,12.0,6.0,8,True,2.0,,,,,,
27,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102.0,,7.0,3.0,1.0,,,62.0,,7,True,2.0,CC-BY-4.0,,,,,
28,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,2017-06-02 09:24:45,2022-06-10 05:50:01,2022-06-10 05:50:01,231.0,20.0,7.0,5.0,,1.0,1.0,46.0,2.0,7,True,2.0,,,,,,
29,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2021-08-13 17:00:15,2021-08-13 17:00:14,122.0,,1.0,4.0,,,,25.0,,7,True,2.0,MIT,,,,,
