,name,homepage,labels,github_id,description,category,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
76,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,,,2.0,-1,True,2.0,
77,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,,,2.0,-1,True,2.0,
78,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,,,2.0,-1,True,2.0,
79,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,,,2.0,-1,True,2.0,
80,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,,,2.0,-1,True,2.0,
81,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,,,2.0,-1,True,2.0,
82,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,,,2.0,-1,True,2.0,
83,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,,,2.0,-1,True,2.0,
84,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,,,2.0,-1,True,2.0,
85,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,,,2.0,-1,True,2.0,
86,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,,,2.0,-1,True,2.0,
87,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,,,2.0,-1,True,2.0,
88,purarues exobrain,https://purarue.xyz/x/,"['programming', 'linux']",purarue/exobrain,,english,,,2.0,-1,True,2.0,
89,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,,,2.0,-1,True,2.0,
90,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,,,2.0,-1,True,2.0,
91,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,,,2.0,-1,True,2.0,
92,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,,,2.0,-1,True,2.0,
93,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,,,2.0,-1,True,2.0,
94,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,,,2.0,-1,True,2.0,
95,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,,,2.0,-1,True,2.0,
96,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,,,2.0,-1,True,2.0,
97,Declan Chidlow,https://vale.rocks,"['programming', 'science', 'productivity', 'arts']",DeclanChidlow/vale.rocks,,english,,,2.0,-1,True,2.0,
98,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,,,2.0,-1,True,2.0,
99,QA Garden,https://gabrioliv.github.io/garden/,"['programming', 'productivity', 'qa']",GabriOliv/garden,,portuguese,,,2.0,-1,True,1.0,
