,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count
34,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,2019-04-06 11:12:55,2022-02-26 10:19:49,2022-01-31 07:49:15,266,,11.0,2.0,39.0,,,24.0,7.0,6,True,2,,,,,,,
35,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2021-11-18 05:12:58,2021-11-18 05:12:52,241,,3.0,4.0,3.0,,,19.0,3.0,6,True,2,,,,,,,
36,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344,,1.0,4.0,1.0,1.0,11.0,16.0,2.0,6,False,2,CC-BY-SA-4.0,,,,,,
37,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2022-02-13 17:59:09,2022-02-13 17:59:07,184,6.0,4.0,3.0,1.0,3.0,,16.0,,6,True,2,,1.0,,,,,
38,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,2020-06-11 04:33:29,2022-04-23 22:45:54,2022-04-23 22:45:52,478,13.0,,4.0,,,1.0,10.0,,6,True,2,,,,,,,
39,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/Mineral-Existence,2020-09-27 02:34:26,2022-05-10 04:45:01,2022-05-10 04:41:38,477,28.0,,1.0,,,,6.0,,6,True,2,,,,,,,
40,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2022-04-22 04:41:57,2022-04-22 04:41:56,522,4.0,1.0,1.0,8.0,2.0,23.0,4.0,4.0,6,True,2,,,,,,,
41,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57,,4.0,6.0,2.0,,,49.0,,5,False,3,,,,,,,
42,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23,,1.0,5.0,,,,13.0,2.0,5,False,3,MIT,,,,,,
43,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2022-05-05 12:47:08,2022-05-05 12:47:04,283,8.0,,1.0,,,,4.0,2.0,5,True,3,CC0-1.0,,,,,,
