,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
17,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,MIT,2017-12-22 16:57:51,2024-11-14 19:20:32,2024-11-14 19:20:31,403.0,1.0,8.0,21.0,4.0,,,286.0,,,5.0,10,True,2.0,,,,,,,
18,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,CC0-1.0,2019-06-18 06:09:22,2025-01-31 09:52:22,2025-01-31 09:52:20,431.0,41.0,15.0,3.0,5.0,,28.0,83.0,,,2.0,10,True,2.0,,,,,,,
19,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,MIT,2022-01-04 00:11:18,2025-01-15 07:33:00,2025-01-15 07:32:34,270.0,5.0,9.0,6.0,3.0,2.0,,60.0,,,,10,True,2.0,,,,,,,
20,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,,2014-07-03 17:41:01,2023-04-26 13:48:21,2014-07-03 17:50:18,8297.0,,21.0,4.0,,,,35.0,,,5.0,10,False,2.0,,,,,,,
21,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,https://github.com/mlubinsky/mlubinsky.github.com,,2011-07-14 23:56:22,2025-02-04 05:07:31,2025-02-04 05:07:30,12465.0,467.0,3.0,2.0,,,1.0,10.0,,,8.0,10,True,2.0,,,,,,,
22,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,,85.0,19.0,29.0,4.0,12.0,381.0,,,6.0,9,True,2.0,,,,,,,
23,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,,2019-04-06 11:12:55,2024-12-31 09:28:25,2024-12-31 09:28:19,325.0,5.0,22.0,5.0,54.0,1.0,,36.0,,,10.0,9,True,2.0,,,,,,,
24,Project Delta - one bit better,https://selimslab.github.io/,"['art', 'science', 'programming', 'philosophy', 'psychology', 'practical skills', 'poetry', 'technology']",selimslab/selimslab.github.io,"A digital space to create, collect, and share.",english,https://github.com/selimslab/selimslab.github.io,MIT,2020-01-01 15:03:33,2025-01-21 09:16:29,2025-01-21 09:16:22,2681.0,9.0,,1.0,,,1.0,13.0,,,33.0,9,True,2.0,,,2022-11-09 08:20:55,1.0.0,1.0,,
25,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,CC-BY-4.0,2019-04-13 20:39:28,2024-11-17 21:20:40,2024-11-17 18:46:24,290.0,1.0,49.0,8.0,16.0,,,275.0,,,2.0,8,True,2.0,,,,,,,
26,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,,2016-05-13 19:55:51,2025-01-21 21:04:31,2025-01-21 21:04:20,1133.0,3.0,5.0,9.0,1.0,1.0,2.0,64.0,,,,8,True,2.0,,,,,,,
27,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,37.0,,,,8,False,2.0,,,,,,,
28,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,MIT,2019-07-04 11:37:40,2023-05-28 13:48:45,2023-05-28 13:48:44,490.0,,7.0,2.0,3.0,3.0,,30.0,,,3.0,8,True,2.0,,,,,,,
29,purarues exobrain,https://purarue.xyz/x/,"['programming', 'linux']",purarue/exobrain,,english,https://github.com/purarue/exobrain,MIT,2020-06-11 04:33:29,2025-01-30 05:03:55,2025-01-30 05:03:54,832.0,31.0,,4.0,12.0,,18.0,19.0,,,2.0,8,True,2.0,,,,,,,
30,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,ISC,2017-05-07 16:44:33,2024-04-04 13:36:41,2024-04-04 13:36:40,903.0,,4.0,4.0,91.0,,,16.0,,,3.0,8,True,2.0,,,,,,,
31,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,CC-BY-SA-4.0,2022-04-11 14:41:41,2025-02-03 17:28:01,2025-02-03 17:27:54,803.0,35.0,2.0,3.0,3.0,,,13.0,,,2.0,8,True,2.0,,,,,,,
