,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
28,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,2022-04-11 14:41:41,2023-07-03 15:39:55,2023-07-03 15:39:14,681.0,58.0,,2.0,1.0,,,5.0,2.0,8,True,2.0,CC-BY-SA-4.0,,,,,,,,,
29,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.github.io,2020-02-01 14:29:58,2023-08-01 12:24:44,2023-08-01 12:23:34,1014.0,149.0,,2.0,60.0,,10.0,1.0,4.0,8,True,2.0,MIT,,,,,,,,,
30,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,2020-04-30 17:33:44,2023-07-10 21:13:01,2023-07-10 21:12:58,374.0,7.0,,,2.0,,,,,8,True,2.0,MIT,,,,,,,,,
31,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,2019-04-06 11:12:55,2023-05-21 01:54:08,2023-05-21 01:54:04,287.0,4.0,17.0,3.0,51.0,,,32.0,9.0,7,True,2.0,,,-1.0,,,,,,,
32,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,2019-07-04 11:37:40,2023-05-28 13:48:45,2023-05-28 13:48:44,490.0,1.0,7.0,2.0,3.0,3.0,,29.0,3.0,7,True,2.0,MIT,,-1.0,,,,,,,
33,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,4.0,1.0,,,27.0,,7,True,2.0,MIT,,,,,,,,,
34,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,https://github.com/maximevaillancourt/maximevaillancourt.com,2015-07-13 16:50:04,2023-04-12 11:31:08,2023-04-12 11:31:01,194.0,,9.0,4.0,18.0,,6.0,27.0,3.0,7,True,2.0,,,,,,,,,,
35,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,2018-06-26 16:04:46,2023-07-07 11:47:25,2023-07-07 11:47:21,150.0,19.0,1.0,3.0,,,,17.0,,7,True,2.0,,,,,,,,,,
36,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,2017-05-07 16:44:33,2023-07-09 11:36:16,2023-07-09 11:33:52,882.0,1.0,2.0,3.0,62.0,,,13.0,3.0,7,True,2.0,ISC,,,,,,,,,
37,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2023-07-13 22:40:19,2023-07-13 22:39:54,1874.0,2.0,,3.0,11.0,,,1.0,20.0,7,True,1.0,MIT,,,,,,,,,
